book,title,author,genre,num_pages
155,You Bright and Risen Angels,William T. Vollmann,Fiction,635.0
156,The Big Rock Candy Mountain,Wallace Stegner,Fiction,563.0
157,The Portable James Joyce,James Joyce,Fiction,762.0
158,The Portable Dorothy Parker,Dorothy Parker,Literary Collections,610.0
159,Libra,Don DeLillo,Fiction,480.0
160,The Assault,Reinaldo Arenas;Andrew Hurley,Fiction,176.0
161,Of Mice and Men,John Steinbeck;Susan Shillinglaw,Cowboys,160.0
162,Leviathan,Thomas Hobbes;Edwin M. Curley,Philosophy,627.0
163,Essays,George Orwell,Literary Collections,1369.0
164,Collected Short Stories,Graham Greene,Fiction,368.0
165,North of South,Shiva Naipaul,Social Science,352.0
166,I Ching,John Blofeld,"Body, Mind & Spirit",240.0
167,The Beloved,Kahlil Gibran;John Walbridge,Fiction,102.0
168,Regeneration,Julie E. Czerneda,Fiction,543.0
169,The Tortilla Curtain,T. Coraghessan Boyle,Fiction,355.0
170,How the Mind Works,Steven Pinker,Philosophy,660.0
171,Under the Sea Wind,Rachel Carson,Fiction,320.0
172,Solomon's Song,Bryce Courtenay,Australia,671.0
173,Wide Sargasso Sea,Jean Rhys,British,160.0
174,My Year of Meats,Ruth L. Ozeki,Fiction,366.0
175,Lord of the Flies,William Golding,Fiction,336.0
176,The Inimitable Jeeves,Pelham Grenville Wodehouse,Fiction,240.0
177,Wanderlust,Rebecca Solnit,Social Science,326.0
178,Collected Fictions,Jorge Luis Borges;Andrew Hurley,Fiction,565.0
179,Spellbound,Jane Green,Fiction,439.0
180,A Year in Provence,Peter Mayle,Provence (France),207.0
181,The Periodic Table,Primo Levi;Raymond Rosenthal,"Authors, Italian",194.0
182,The Basque History of the World,Mark Kurlansky,History,400.0
183,World's End,T. Coraghessan Boyle,Fiction,480.0
184,Little Plum,Rumer Godden,Juvenile Fiction,144.0
185,Fairy Tales,Terry Jones;Michael Foreman,Children's stories,160.0
186,Strange Attractors,William Sleator,Juvenile Fiction,176.0
187,Bound for Oregon,Jean Van Leeuwen,Juvenile Fiction,176.0
188,The Complete Poems,William Blake,Literary Criticism,1072.0
189,The Canterbury Tales,Geoffrey Chaucer,Poetry,489.0
190,The Law and the Lady,Wilkie Collins,Fiction,383.0
191,Martin Chuzzlewit,Charles Dickens,Fiction,830.0
192,Selected Writings,Saint Thomas (Aquinas);Ralph McInerny;Ralph M. McInerny,Literary Collections,841.0
193,Three Men in a Boat,Jerome K. Jerome,Boats and boating,272.0
194,A Journal of the Plague Year,Daniel Defoe,Fiction,289.0
195,Saint Joan,George Bernard Shaw,Drama,160.0
196,Cousin Pons,Honore Balzac,Fiction,336.0
197,Phaedrus,Plato;Robin Waterfield,Philosophy,128.0
198,Love,Stendhal,Literary Collections,336.0
199,The Oresteia,Aeschylus,Drama,304.0
200,Notre-Dame de Paris,Victor Hugo;John Sturrock,Fiction,493.0
201,Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,240.0
202,Les Miserables,Victor Hugo;Norman Denny,Fiction,1232.0
203,Democracy in America,Alexis de Tocqueville;Arthur Goldhammer,Philosophy,928.0
204,Metamorphosis,Ovid;David Raeburn,Fiction,723.0
205,Three Tales,Gustave Flaubert;Roger Whitehouse;Geoffrey Wall,Fiction,110.0
206,Dead Souls,Nikolaĭ Vasilʹevich Gogolʹ,Fiction,445.0
207,City of God,E. L. Doctorow,Fiction,272.0
208,The Histories,Herodotus,History,772.0
209,Anna Karenina,graf Leo Tolstoy;Louise Maude;Aylmer Maude,Fiction,752.0
210,The Twelve Caesars,Suetonius,Fiction,363.0
211,The Last Days of Socrates,Plato;Hugh Tredennick,Fiction,256.0
212,Time of Wonder,Robert McCloskey,Juvenile Fiction,64.0
213,Lentil,Robert McCloskey,Juvenile Fiction,64.0
214,The Giraffe and the Pelly and Me,Roald Dahl;Quentin Blake,Candy,32.0
215,Wuthering Heights,Emily Bronte;Emily Brontë,Fiction,464.0
216,Far from the Madding Crowd,Thomas Hardy,England,374.0
217,The Sonnets,William Shakespeare,Drama,164.0
218,Hamlet,William Shakespeare;Burton Raffel;Harold Bloom,Drama,249.0
219,A Midsummer Night's Dream,William Shakespeare,Juvenile Nonfiction,99.0
220,In the Heart of the Sea,Nathaniel Philbrick,History,302.0
221,Door Wide Open,Jack Kerouac,Biography & Autobiography,232.0
222,How to Build a Time Machine,Paul Davies,Science,148.0
223,You Shall Know Our Velocity,Dave Eggers,Fiction,350.0
224,The Epic of Gilgamesh,Maureen Gallery Kovacs,Literary Criticism,122.0
225,One Flew Over the Cuckoo's Nest,Ken Kesey,Mentally ill,281.0
226,Ulysses,James Joyce,,405.0
227,Howards End,Edward Morgan Forster,Fiction,312.0
228,A Room of One's Own,Virginia Woolf;Susan Gubar,Fiction,112.0
229,Tender is the Night,F. Scott Fitzgerald,Fiction,400.0
230,A Spy In The House Of Love,Anais Nin,Fiction,124.0
231,Keep the Aspidistra Flying,George Orwell,Fiction,277.0
232,Labyrinths,Jorge Luis Borges,Classical fiction,287.0
233,The Dharma Bums,Jack Kerouac,Fiction,187.0
234,The Subterraneans,Jack Kerouac,Fiction,192.0
235,The Plague,Albert Camus,Epidemics,238.0
236,Answered Prayers,Truman Capote,Authors,192.0
237,Mysteries,Colin Wilson,"Body, Mind & Spirit",672.0
238,Giovanni's Room,James Baldwin,Fiction,159.0
239,The Bell,Iris Murdoch,Fiction,296.0
240,Seven Gothic Tales,Isak Dinesen,Fiction,368.0
241,Orientalism,John MacKenzie;John MacDonald MacKenzie,Art,256.0
242,Crazy,Benjamin Lebert,Handicapped youth,175.0
243,Boy,Roald Dahl,"Authors, English",176.0
244,Emma,Jane Austen,Literary Criticism,402.0
245,Mansfield Park,Jane Austen,Literary Criticism,418.0
246,Tono-Bungay,H.G. Wells,Fiction,414.0
247,A Passage to India,Edward Morgan Forster;Pankaj Mishra,Fiction,376.0
248,Icy Sparks,Gwyn Hyman Rubio,Fiction,320.0
249,Bridget Jones's Guide to Life,Helen Fielding,Fiction,64.0
250,East of Eden,John Steinbeck,Fiction,602.0
251,Cannery Row,John Steinbeck,Fiction,181.0
252,Travels with Charley,John Steinbeck,Biography & Autobiography,214.0
253,Drop City,T. Coraghessan Boyle,Fiction,497.0
254,Nuns and Soldiers,Iris Murdoch,Fiction,512.0
255,Pippi Longstocking,Astrid Lindgren,Juvenile Fiction,160.0
256,Moon-Flash,Patricia A. McKillip,Juvenile Fiction,304.0
257,A Little Princess,Frances Hodgson Burnett,Juvenile Fiction,208.0
258,Jane Eyre,Charlotte Brontë,Fiction,532.0
259,On the Road,Jack Kerouac,Fiction,320.0
260,The Power and the Glory,Graham Greene,Fiction,222.0
261,Enchantress from the Stars,Sylvia Louise Engdahl,Juvenile Fiction,275.0
262,Castaways of the Flying Dutchman,Brian Jacques,Juvenile Fiction,356.0
